TIME,V(XTOP:B),V(XTOP:XDUT:I_1),V(XTOP:VPWR),V(XTOP:XDUT:I_2),V(XTOP:XDUT:I_0),V(XTOP:X),V(XTOP:A),V(XTOP:XDUT:I_3),I(XTOP:VB_DRIVER),I(XTOP:VA_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VPOWER)
6.70652363e-10,1.80000000e+00,1.79790265e+00,1.80000000e+00,1.50306770e+00,6.88844795e-03,2.34643379e-01,0.00000000e+00,2.33905923e-06,1.26161810e-07,4.58583212e-06,4.85220903e-05,-6.34726616e-05
6.79813157e-10,1.80000000e+00,1.79983898e+00,1.80000000e+00,1.51339976e+00,6.12525673e-03,4.55862470e-01,0.00000000e+00,-1.32823351e-07,-1.25708219e-08,4.44838800e-06,4.80717642e-05,-6.15411241e-05
6.88973950e-10,1.80000000e+00,1.79998752e+00,1.80000000e+00,1.52288217e+00,6.09125609e-03,6.73931148e-01,0.00000000e+00,1.41826931e-06,1.68677221e-07,4.17011111e-06,4.71464832e-05,-5.93804939e-05
6.98134744e-10,1.80000000e+00,1.79999920e+00,1.80000000e+00,1.53367343e+00,6.13239291e-03,8.84542275e-01,0.00000000e+00,5.34838824e-07,1.55117142e-08,4.33277714e-06,4.48154741e-05,-5.71574551e-05
7.07295538e-10,1.80000000e+00,1.79999984e+00,1.80000000e+00,1.54782010e+00,6.58751241e-03,1.08157117e+00,0.00000000e+00,9.43146603e-07,2.75438549e-07,4.10409891e-06,4.12158900e-05,-5.32568603e-05
7.16456331e-10,1.80000000e+00,1.80000038e+00,1.80000000e+00,1.56932015e+00,8.61102620e-03,1.24839622e+00,0.00000000e+00,5.77235889e-07,3.29809603e-07,4.22021150e-06,3.16271653e-05,-4.60505364e-05
7.25617125e-10,1.80000000e+00,1.79999996e+00,1.80000000e+00,1.59880295e+00,1.04816981e-02,1.37569811e+00,0.00000000e+00,4.74887523e-07,3.90185860e-07,3.77586635e-06,2.39583650e-05,-3.87777209e-05
7.34777918e-10,1.80000000e+00,1.80000009e+00,1.80000000e+00,1.63237679e+00,9.95833106e-03,1.47306699e+00,0.00000000e+00,4.20066079e-07,1.06958765e-07,3.78146389e-06,1.85571150e-05,-3.27035707e-05
7.43938712e-10,1.80000000e+00,1.79999973e+00,1.80000000e+00,1.66481895e+00,8.58210689e-03,1.54901472e+00,0.00000000e+00,2.34355449e-07,2.68820454e-07,3.04624383e-06,1.46049587e-05,-2.62876392e-05
7.53099506e-10,1.80000000e+00,1.79999999e+00,1.80000000e+00,1.69334914e+00,7.04906421e-03,1.60829512e+00,0.00000000e+00,3.10954558e-07,2.34915242e-08,2.82658150e-06,1.12794381e-05,-2.13380339e-05
7.62260299e-10,1.80000000e+00,1.79999974e+00,1.80000000e+00,1.71713426e+00,5.62947860e-03,1.65427840e+00,0.00000000e+00,9.45066031e-08,2.04149931e-07,2.03582861e-06,8.79885416e-06,-1.64130411e-05
7.71421093e-10,1.80000000e+00,1.80000002e+00,1.80000000e+00,1.73630610e+00,4.41035414e-03,1.68968104e+00,0.00000000e+00,2.32532209e-07,-2.89108367e-08,1.88097991e-06,6.65947787e-06,-1.30770540e-05
