TIME,V(XTOP:P),V(XTOP:IN),V(XTOP:VPWR),V(XTOP:X),I(XTOP:VIN_DRIVER),I(XTOP:CLOADP),I(XTOP:CLOADX),I(XTOP:VPOWER)
8.00000000e-10,1.79342898e+00,0.00000000e+00,1.80000000e+00,2.42660178e-04,7.56079846e-07,4.98919015e-06,-8.54093850e-06,1.20540028e-06
8.00689565e-10,1.79755298e+00,2.48243387e-02,1.80000000e+00,7.81965114e-04,-5.44649410e-05,1.19611701e-05,1.56418892e-06,2.61125513e-05
8.01246074e-10,1.80088033e+00,4.48586787e-02,1.80000000e+00,1.16316479e-03,-5.45903282e-05,1.19579346e-05,1.36996658e-06,2.61971423e-05
8.02359093e-10,1.80785378e+00,8.49273589e-02,1.80000000e+00,1.87355005e-03,-5.48046194e-05,1.31034662e-05,1.18303686e-06,2.48894834e-05
8.04585131e-10,1.82074806e+00,1.65064719e-01,1.80000000e+00,2.66964818e-03,-5.46823773e-05,1.00664531e-05,2.47483562e-07,2.90161095e-05
8.09037207e-10,1.84361842e+00,3.25339440e-01,1.80000000e+00,3.05130163e-03,-5.51356563e-05,1.04815881e-05,9.54157812e-08,2.90962304e-05
8.17941358e-10,1.88527553e+00,6.45888881e-01,1.80000000e+00,2.82895376e-03,-5.72089379e-05,8.23197832e-06,-1.95300822e-07,3.15095032e-05
8.26845509e-10,1.88445568e+00,9.66438322e-01,1.80000000e+00,-3.57835552e-04,-6.48090794e-05,-8.60027563e-06,-1.23629631e-06,1.68158105e-05
8.27840884e-10,1.87737413e+00,1.00227182e+00,1.80000000e+00,-1.26096987e-03,-6.29238582e-05,-1.42289147e-05,-1.81466180e-06,1.54450680e-05
8.28836259e-10,1.86902089e+00,1.03810531e+00,1.80000000e+00,-2.24827512e-03,-6.17070998e-05,-1.93393185e-05,-2.15290996e-06,1.28163889e-05
8.30827008e-10,1.84491489e+00,1.10977229e+00,1.80000000e+00,-4.59085332e-03,-6.13164383e-05,-2.90967081e-05,-2.55401687e-06,8.86680333e-06
8.32817758e-10,1.80964211e+00,1.18143928e+00,1.80000000e+00,-7.47509088e-03,-5.54375987e-05,-4.17766416e-05,-3.24126252e-06,3.13031405e-06
8.34808507e-10,1.76467325e+00,1.25310627e+00,1.80000000e+00,-1.05247671e-02,-5.72763677e-05,-4.85789924e-05,-2.88643173e-06,-2.94123222e-06
